id,filename,similarity,source_target_similarity,improvement
118,WNL Kiruna,0.8793061050530295,0.9180110708042137,-0.038704965751184206
119,WNL Lego movie,0.9605551144913866,0.9135890566965257,0.04696605779486096
120,WNL Loneliness,0.5147854880258615,0.9054533921408051,-0.39066790411494356
121,WNL Love hormonw,0.9345139919824577,0.9538461832797485,-0.0193321912972908
122,WNL Making a killing,0.9805465326104572,0.8495597600904482,0.130986772520009
123,WNL Man falls,0.9482139762763605,0.9215601397014871,0.026653836574873413
124,WNL Mars,0.641126827021302,0.8151850238641694,-0.17405819684286739
125,WNL Men in black,0.9250812356456167,0.8625743401835386,0.0625068954620781
126,WNL Mirrors,0.9457026766989932,0.9218478521517219,0.02385482454727128
127,WNL Morocco,0.9415196283268672,0.8643395636076513,0.0771800647192159
128,WNL Music,0.9278314270144654,0.9332516326425996,-0.005420205628134167
129,WNL Mystery Shopper,0.9010500667480548,0.8936843913190169,0.007365675429037877
130,WNL NASA Astronaut,0.9523082912219134,0.9298486021803543,0.02245968904155915
131,WNL Neuroscientists,0.9237486112608997,0.8774049886501376,0.04634362261076208
132,WNL New Orleans,0.9400260749239588,0.8805331269950483,0.05949294792891058
133,WNL Nigerian low tech,0.6337187166596467,0.8278472602807032,-0.19412854362105647
134,WNL Noise pollution ,0.4081297358643724,0.7128051718610449,-0.30467543599667246
135,WNL Novel way,0.9279653611153458,0.8999022700364829,0.028063091078862845
136,WNL On the trail,0.9379864342473663,0.9577231963342687,-0.01973676208690245
137,WNL Organic Food,0.9480882320845141,0.9162812196679596,0.03180701241655448
138,WNL Pacific Islanders,0.4596848367991103,0.887210290497457,-0.4275254536983467
139,WNL Pizza chain,0.9041023122080948,0.9180137704357806,-0.013911458227685802
140,WNL Planet,0.9760967476944848,0.9598650111902152,0.016231736504269678
141,WNL Poverty,0.9301739299995019,0.9361709564364586,-0.005997026436956765
142,WNL Revolution,0.9428697553209413,0.9204305873480944,0.022439167972846952
143,WNL Rwanda,0.9417446250597067,0.9793807044258822,-0.03763607936617552
144,WNL Satnav,0.9325509903667535,0.884235890895262,0.048315099471491485
145,WNL Scarlett,0.9138519154534954,0.8940573709589704,0.019794544494525
146,WNL School Sports,0.9439808565211362,0.9630254398389446,-0.01904458331780845
147,WNL School,0.902195288441227,0.979200596726964,-0.07700530828573704
148,WNL Scientist,0.9493159523818794,0.8263266766251637,0.1229892757567157
149,WNL Scottish referendum,0.9372863998001053,0.9000479022748349,0.03723849752527042
150,WNL SeaWorld,0.959786361554921,0.9456929478104044,0.01409341374451667
151,WNL Shakespeare,0.33356567329865194,0.8572168740396163,-0.5236512007409644
152,WNL shark,0.9303377826135837,0.942904623881077,-0.0125668412674933
153,WNL Ships noise,0.4631433377858269,0.8861440439463001,-0.4230007061604732
154,WNL Shocking,0.5801504008366896,0.8440246673553207,-0.2638742665186311
155,WNL Shops,0.9256466465788784,0.9184173937451496,0.007229252833728772
156,WNL six well paid jobs,0.9036161217206099,0.9673754921680799,-0.06375937044747004
157,WNL Six year olds,0.5114190666254301,0.8235864316587542,-0.3121673650333241
158,WNL Spain Robin Hood,0.9216096514743575,0.9245274986357788,-0.002917847161421294
159,WNL Spain Wetlands,0.9178724674498053,0.8626594574238624,0.05521301002594292
160,WNL Star Wars,0.3583779632383863,0.826783840991887,-0.4684058777535007
161,WNL Still no flying cars,0.935831761217486,0.8611182841327267,0.07471347708475928
162,WNL Swarthy caveman,0.9606551660848744,0.8658356866360404,0.09481947944883407
163,WNL Switched Babies,0.4110829793498432,0.9404421464699656,-0.5293591671201223
164,WNL Ten ideas,0.6037808571734375,0.9147047375819115,-0.31092388040847396
