id,filename,similarity,source_target_similarity,improvement
101,WNL Four new elements,0.9455888457733557,0.9610601943305122,-0.015471348557156483
102,WNL Glastonbury,0.9439391998745275,0.9531583803382122,-0.00921918046368475
103,WNL Goodbye fish and chips,0.9434127167689698,0.9323043558450936,0.011108360923876126
104,WNL Google boss,0.9328332625497134,0.9010812695723751,0.03175199297733833
105,WNL Google car,0.9728723234795865,0.9286985905713077,0.04417373290827886
106,WNL How downtown Abbey,0.9539812913101302,0.8865753837529702,0.06740590755716003
107,WNL I confused my numbers,0.9491313499501316,0.9547122246072245,-0.0055808746570928935
108,WNL Icebucket challenge,0.9310408061687605,0.7624496221697779,0.16859118399898265
109,WNL Icelandic names,0.4047081450745725,0.9538674471069122,-0.5491593020323398
110,WNL In flight,0.9482972088293774,0.9560837505063765,-0.007786541676999104
111,WNL India's rich,0.9694521204731054,0.9203337732420156,0.049118347231089765
112,WNL Inky the octopus,0.5253496820235075,0.9473599140787177,-0.42201023205521015
113,WNL Inventions,0.9553665241181677,0.94175096392102,0.013615560197147714
114,WNL Japan,0.9418840940249141,0.9503364605482398,-0.008452366523325705
115,WNL JMW Turner,0.9717042861741471,0.9264731242639295,0.04523116191021759
116,WNL John Lewis,0.5804503887177024,0.9051241262525334,-0.324673737534831
117,WNL Kate Bush,0.9523532767136115,0.9704186543206634,-0.018065377607051958
118,WNL Kiruna,0.9426305125682287,0.9214053405549699,0.021225172013258797
119,WNL Lego movie,0.9331854952062096,0.9159988807577255,0.017186614448484128
120,WNL Loneliness,0.527696201150679,0.9282873304870802,-0.4005911293364013
121,WNL Love hormonw,0.9439508103943266,0.9808476837733499,-0.036896873379023254
122,WNL Making a killing,0.9689633420436059,0.8761813897572049,0.09278195228640096
123,WNL Man falls,0.9625500390040957,0.8556090157675632,0.10694102323653254
124,WNL Mars,0.568271722693616,0.9381401998268568,-0.3698684771332408
125,WNL Men in black,0.9364364842685708,0.9236094038130326,0.012827080455538264
126,WNL Mirrors,0.9648326247154595,0.9428911587421691,0.021941465973290386
127,WNL Morocco,0.9358500800938531,0.9140862995963102,0.021763780497542906
128,WNL Music,0.9270212086931549,0.8627696033045498,0.06425160538860508
129,WNL Mystery Shopper,0.9305078150392667,0.9675919930541964,-0.03708417801492969
130,WNL NASA Astronaut,0.9332157905496183,0.9574072461775469,-0.02419145562792857
131,WNL Neuroscientists,0.9268852245851658,0.9143349365679423,0.012550288017223465
132,WNL New Orleans,0.9281149781252496,0.9527978637159868,-0.02468288559073728
133,WNL Nigerian low tech,0.6567400395717826,0.9511964632565866,-0.29445642368480396
134,WNL Noise pollution ,0.49141737218803305,0.91864514819505,-0.427227776007017
135,WNL Novel way,0.9422735489090259,0.8738970544809728,0.06837649442805316
136,WNL On the trail,0.9446165587897885,0.9049572474473023,0.039659311342486125
